                            time,                             ala,                           death,                            haem,                            ppix
           0.0016671165394958228,               0.986749515581021,       0.00000013499612412678537,         0.000001349961241267854,           0.0016548255950069974
            0.001748693791221987,              0.9861055450720352,        0.0000001484957365394639,        0.0000014849573653946394,           0.0017351734128936815
           0.0018342735583138671,               0.985430419609033,        0.0000001633453101934103,        0.0000016334531019341034,           0.0018194007504587642
           0.0019240532894435934,              0.9847226461840766,       0.00000017967984121275134,        0.0000017967984121275137,            0.001907692748737104
            0.002018240281207178,              0.9839806616739522,       0.00000019764782533402646,         0.000001976478253340265,           0.0020002431646773244
            0.002117052180092437,              0.9832028296927812,        0.0000002174126078674291,         0.000002174126078674291,            0.002097254749715834
            0.002220717511114759,              0.9823874373183636,         0.000000239153868654172,          0.00000239153868654172,           0.0021989396426493656
             0.00232947623464481,               0.981532691688806,        0.0000002630692555195892,        0.0000026306925551958923,           0.0023055197770885496
           0.0024435803330498116,              0.9806367164660845,       0.00000028937618107154816,        0.0000028937618107154814,            0.002417227303747664
           0.0025632944288747675,              0.9796975481633285,         0.000000318313799178703,        0.0000031831379917870295,           0.0025343050277929764
           0.0026888964364026103,              0.9787131323327732,       0.00000035014517909657333,        0.0000035014517909657324,            0.002657006861433299
            0.002820678248553329,               0.977681319611537,       0.00000038515969700623067,        0.0000038515969700623055,           0.0027855982918908117
           0.0029589464612125175,              0.9765998616226333,       0.00000042367566670685375,         0.000004236756667068536,           0.0029203568648370685
           0.0031040231372202257,              0.9754664067289229,       0.00000046604323337753914,          0.00000466043233377539,           0.0030615726833174905
           0.0032562466124024443,              0.9742784956380767,        0.0000005126475567152931,         0.000005126475567152929,           0.0032095489221165637
           0.0034159723461909867,              0.9730335568570352,        0.0000005639123123868224,         0.000005639123123868222,           0.0033646023574343655
           0.0035835738195540458,              0.9717289019949477,        0.0000006203035436255046,         0.000006203035436255045,           0.0035270639116516773
            0.003759443483150537,               0.970361720914141,         0.000000682333897988055,          0.00000682333897988055,            0.003697279212854528
            0.003943993758827783,              0.9689290767293302,        0.0000007505672877868605,         0.000007505672877868605,            0.003875609168668093
